essay_id,teacher_id,Choose,N_BREAK,is_control,student_id,first_name,last_name,first_draft,feedback_level,second_draft,prompt,submit_time,start_revise_time,end_revise_time,revising_time,match_before,match_after
257,101,18.00,37,0,30,K,M,     One team tryed to help with the poor and the sick when people got sick they hardly didn't have any water.My second example is that there are many solutions to the problems that keep people improverished. Most of the hospitals didn't have much water. There were lots of patiantes that got sick and the medicine was very exspencive back then.That is how winning the fight for water ended up.,1,One team tryed to help with the poor and the sick when people got sick they hardly didn't have any water.My second example is that there are many solutions to the problems that keep people improverished. Most of the hospitals didn't have much water. There were lots of patiantes that got sick and the medicine was very exspencive back then.That is how winning the fight for water ended up.The students didn't have enough money so they couldn't go to school.They were very poor. The winning the fight agianst poverty was an achevment of a lifetime.,1,2018-11-30 10:19:48.0,2018-12-06 17:26:45.0,2018-12-06 17:35:03.0,00:08:18,"[one, team, tryed, to, help, with], [poor, and, the, sick, when, people], [sick, they, hardly, didnt, have, any], [are, many, solutions, to, the, problems], [the, hospitals, didnt, have, much, water]","[one, team, tryed, to, help, with], [poor, and, the, sick, when, people], [sick, they, hardly, didnt, have, any], [are, many, solutions, to, the, problems], [the, hospitals, didnt, have, much, water], [the, winning, the, fight, agianst, poverty]"
264,101,18.00,37,0,15,P,D,"
         The author did convince me that winning the fight against poverty is possible in our lifetime.The author convinced me because she tells the hospital got medicine.
         The Millennium Villages Project in Sauri,Kenya improved the town because it said the hospitals had medicine, free of charge,for all most common disease. The hospital had water connected to it.That is for the Yala sub-district.The hunger crisis had been addressed with fertilizer.There are no school fees anymore.
          The school now serves lunch for the students and the attendance rate is way up.The author convinced me that we can win a fight against poverty in our life time because of these examples and more.Like there is now a generator connected to the hospital. Also that the students could go to school because there were no school fees.The hunger crisis had been addressed with fertilizer and seeds,as well as the tools needed to maintain the food supply.
          In conclusion that is why the author convinced me that we can win the fight against poverty in our lifetime.",3,"The author did convince me that winning the fight against poverty is possible in our lifetime.The author convinced me because she tells the hospital got medicine and more examples.

The Millennium Villages Project in Sauri,Kenya improved the town because it said the hospitals had medicine, free of charge,for all most common disease. The hospital had water connected to it.That is for the Yala sub-district.The hunger crisis had been addressed with fertilizer.There are no school fees anymore.I included this evidence because it shows how the won a fight against poverty.

The school now serves lunch for the students and the attendance rate is way up.The author convinced me that we can win a fight against poverty in our life time because of these examples and more.Like there is now a generator connected to the hospital. Also that the students could go to school because there were no school fees.The hunger crisis had been addressed with fertilizer and seeds,as well as the tools needed to maintain the food supply.

In conclusion the author convinced me we can win a fight against poverty because the author showed how they won a fight against poverty when they were in Sauri,Kenya.The author showed some examples of how we can win a fight against poverty.",1,2018-11-30 10:25:18.0,2018-12-04 14:23:01.0,2018-12-04 14:53:45.0,00:30:44,"[author, did, convince, me, that, winning], [she, tells, the, hospital, got, medicine], [the, millennium, villages, project, in, saurikenya, improved, the, town], [said, the, hospitals, had, medicine, free, of, chargefor, all, most, common, disease], [the, hospital, had, water, connected, to], [hunger, crisis, had, been, addressed, with, fertilizerthere, are, no, school, fees], [the, school, now, serves, lunch, for], [fight, against, poverty, in, our, life], [the, students, could, go, to, school], [seedsas, well, as, the, tools, needed]","[author, did, convince, me, that, winning], [she, tells, the, hospital, got, medicine], [the, millennium, villages, project, in, saurikenya, improved, the, town], [said, the, hospitals, had, medicine, free, of, chargefor, all, most, common, disease], [the, hospital, had, water, connected, to], [hunger, crisis, had, been, addressed, with, fertilizerthere, are, no, school, fees], [the, school, now, serves, lunch, for], [fight, against, poverty, in, our, life], [the, students, could, go, to, school], [seedsas, well, as, the, tools, needed]"
364,101,18.00,37,0,06,A,C,"              To help villages about over 80 of them is a big thing to do. What makes it even harder is that you have a goal of a very little time. But i do think everyone if they can should try to help  others in need.
               In the passage "" A Brighter Future ""  it is very convincing to get a person to help others. To have those people to see the struggle that the people in Kenya,Africa have. To see they are not as lucky as we are in society. We have running water and they don't. They get paid not even a whole dollar. While we complain about getting just $100.
               There about three parts of the texts that really made me think that people should help others fight against poverty. The first one that made me think is from paragraph 1, the author( Hannah Sachs) began to talk about how woman were sitting by markets with their babies on their backs while sailing bananas. They had to sell bananas to get money, because they didn't have enough money to care for their families. This was a lot of people as well. They wouldn't have made a lot of money any way though, because they only get paid a few cents. This means they won't be able to by much.
                Another reason from the text that made me want to help the villages in Kenya,Africa came from paragraph 3. In the paragraph Sachs explains how the kids didn't have enough money to get school supplies. As well not having enough money to buy medicine. This meant that kids were not getting the education they needed and everyone will become ill and they won't heel, because they have a lot of poverty. Even the schools tax fees to the parents for lunches and other things.
               The last one that made officially want to help the people in Kenya to go against poverty came from paragraph 5. Sachs says that their is a disease called Malaria. She explains what Malaria is and where it comes from. From the text it says Malaria is something common in Africa, the disease comes from mosquitoes. The disease can kill children easily and make adults very ill. It cannot be cured, because they couldn't see there was no lights in hospitals as well as light. Also, they couldn't buy medicine. They would need to have bed nets, but they cost $5. Which no one could afford.
               This is what made me think that people should help people in Kenya,Africa fight poverty.",3,"To help villages about over 80 of them is a big thing to do. What makes it even harder is that you have a goal of a very little time. But i do think everyone if they can should try to help others in need.

In the passage "" A Brighter Future "" it is very convincing to get a person to help others. To have those people to see the struggle that the people in Kenya,Africa have. To see they are not as lucky as we are in society. We have running water and they don't. They get paid not even a whole dollar. While we complain about getting just $100.

There about three parts of the texts that really made me think that people should help others fight against poverty. The first one that made me think is from paragraph 1, the author( Hannah Sachs) began to talk about how woman were sitting by markets with their babies on their backs while sailing bananas. They had to sell bananas to get money, because they didn't have enough money to care for their families. This was a lot of people as well. They wouldn't have made a lot of money any way though, because they only get paid a few cents. This means they won't be able to by much.

Another reason from the text that made me want to help the villages in Kenya,Africa came from paragraph 3. In the paragraph Sachs explains how the kids didn't have enough money to get school supplies. As well not having enough money to buy medicine. This meant that kids were not getting the education they needed and everyone will become ill and they won't heel, because they have a lot of poverty. Even the schools tax fees to the parents for lunches and other things.

The last one that made officially want to help the people in Kenya to go against poverty came from paragraph 5. Sachs says that their is a disease called Malaria. She explains what Malaria is and where it comes from. From the text it says Malaria is something common in Africa, the disease comes from mosquitoes. The disease can kill children easily and make adults very ill. It cannot be cured, because they couldn't see there was no lights in hospitals as well as light. Also, they couldn't buy medicine. They would need to have bed nets, but they cost $5. Which no one could afford.

This is what made me think that people should help people in Kenya,Africa fight poverty.
The evidence explains different ways how the people in Kenya are struggling to live. The evidence helps me explain my point by being more specific on the topics i am on. To help others understand what i am saying and to make my reasoning more convincing. They do not have the advantages everyone else has in the world . There are people who have worst conditions or the same conditions.
The evidence helps you and i more knowledgeable of what helping Kenya with their quality of life .",1,2018-12-04 10:30:29.0,2018-12-06 17:24:51.0,2018-12-06 17:40:22.0,00:15:31,"[to, help, villages, about, over, 80], [we, have, running, water, and, they], [should, help, others, fight, against, poverty], [author, hannah, sachs, began, to, talk], [on, their, backs, while, sailing, bananas], [enough, money, to, get, school, supplies], [this, meant, that, kids, were, not], [even, the, schools, tax, fees, to, the, parents, for, lunches], [their, is, a, disease, called, malaria], [malaria, is, and, where, it, comes], [from, mosquitoes, the, disease, can, kill, children, easily, and, make, adults], [there, was, no, lights, in, hospitals, as, well, as, light], [would, need, to, have, bed, nets], [5, which, no, one, could, afford]","[to, help, villages, about, over, 80], [we, have, running, water, and, they], [should, help, others, fight, against, poverty], [author, hannah, sachs, began, to, talk], [on, their, backs, while, sailing, bananas], [enough, money, to, get, school, supplies], [this, meant, that, kids, were, not], [even, the, schools, tax, fees, to, the, parents, for, lunches], [their, is, a, disease, called, malaria], [malaria, is, and, where, it, comes], [from, mosquitoes, the, disease, can, kill, children, easily, and, make, adults], [there, was, no, lights, in, hospitals, as, well, as, light], [would, need, to, have, bed, nets], [5, which, no, one, could, afford], [kenya, with, their, quality, of, life]"
261,101,18.00,37,0,39,M,W,there quality of life is low at first there hospital thay didnt have water or eletricity and thair tolits wer not good do to a lack of water and thair medien is not good ither  thay have no  docters in some places  and thair wells are not to clean cals well water gust isnt safe for any one and there on short suply of fertliser and seeds now there in beter condition they all have bug nets for thair beds and thay now have new medicen and suplys thair water is clean and thair in botels,2,"there quality of life is low at first there hospital thay didnt have water or eletricity and thair tolits wer not good and thair medien is not good ither thay have no docters in some places and thair wells are not to clean and there on short suply of fertliser and seeds. now today there in beter condition they all have bug nets for thair beds and thay now have new medicen and suplys thair water is clean and thair in the clear they have runing water, feartliser and proper school supplys  and deacent medidcin for people ",1,2018-11-30 10:23:33.0,2018-12-04 14:25:03.0,2018-12-04 14:53:41.0,00:28:38,"[there, quality, of, life, is, low], [there, hospital, thay, didnt, have, water, or, eletricity], [do, to, a, lack, of, water], [good, ither, thay, have, no, docters], [thair, wells, are, not, to, clean], [short, suply, of, fertliser, and, seeds], [beter, condition, they, all, have, bug, nets]","[there, quality, of, life, is, low], [there, hospital, thay, didnt, have, water, or, eletricity], [good, ither, thay, have, no, docters], [thair, wells, are, not, to, clean], [short, suply, of, fertliser, and, seeds], [beter, condition, they, all, have, bug, nets], [water, feartliser, and, proper, school, supplys]"
150,101,18.00,37,0,07,K,C,"I think the author did convince me that winning the fight against poverty is achievable in my lifetime.


   This is how the author convinced me is that he said.That it was not just about him it was about every one. For a example he said that his plan was to get people out of poverty, assure them access to health care and help them stabilize the economy and quality of life in their communities. It is saying to care for other people not just you. The bad part about it is that they did not have nothing like they where paying less than a dollar a day to live.They did not even have enough money to let there kids go to school so they had to work out side.They had so many diseases like if a mosquitoe bit a kid they would die are if they bit a adult it would make them really sick because they carry a bad disease called malaria. They did not even have a real doctor all they had was a clinical officer running the hospital.

    Than now in 2018 they have a lot of money and now people are sending there kids to school. Those kids wanted to learn so bad so they did.Those people made a big change in eight years.They also started feeding the kids at school because they never had the money to do it.",3,"I think the author did convince me that winning the fight against poverty is achievable in my lifetime.

This is how the author convinced me is that he said.That it was not just about him it was about every one. For a example he said that his plan was to get people out of poverty, assure them access to health care and help them stabilize the economy and quality of life in their communities. It is saying to care for other people not just you. The bad part about it is that they did not have nothing like they where paying less than a dollar a day to live.They did not even have enough money to let there kids go to school so they had to work out side.They had so many diseases like if a mosquitoe bit a kid they would die are if they bit a adult it would make them really sick because they carry a bad disease called malaria. They did not even have a real doctor all they had was a clinical officer running the hospital.

Than now in 2018 they have a lot of money and now people are sending there kids to school. Those kids wanted to learn so bad so they did.Those people made a big change in eight years.They also started feeding the kids at school because they never had the money to do it. I included every piece of evidence because i think poverty is achievable in lifetime. My evidence that helped me was that they where poor at one time but after a little bit they where not and how they did not have any money to go to school are they did not even have any food at school eaither. The argument that i had it was that there was not a lot of money so it was very hard to do things. All of my evidence came right from the text to make them see how much poverty means.",1,2018-11-28 14:29:31.0,2018-12-04 18:49:14.0,2018-12-04 19:31:22.0,00:42:08,"[author, did, convince, me, that, winning], [to, get, people, out, of, poverty], [the, economy, and, quality, of, life], [like, they, where, paying, less, than], [money, to, let, there, kids, go], [many, diseases, like, if, a, mosquitoe], [bit, a, kid, they, would, die], [because, they, carry, a, bad, disease], [not, even, have, a, real, doctor], [had, was, a, clinical, officer, running, the, hospital], [made, a, big, change, in, eight]","[author, did, convince, me, that, winning], [to, get, people, out, of, poverty], [the, economy, and, quality, of, life], [like, they, where, paying, less, than], [money, to, let, there, kids, go], [many, diseases, like, if, a, mosquitoe], [bit, a, kid, they, would, die], [because, they, carry, a, bad, disease], [not, even, have, a, real, doctor], [had, was, a, clinical, officer, running, the, hospital], [made, a, big, change, in, eight], [i, included, every, piece, of, evidence], [to, school, are, they, did, not, even, have, any, food]"
156,101,18.00,37,0,09,D,C,"     I think that winning the fight against proverty in sauri was very good and i think that maybe one day we can do the same in our community one day . But we do have a lot of people with bad home lifes and mabey one day we can do that .

        In sauri they made a very big diffrents in their community . It states in paragraph 1 "" little kids were raped in clothes on their mothers backs , or they were running around in bear feet and tettered clothing "". We do have a lot of people like that were i live and i think that one day we will be able to change that . It states "" hospital has medicine , free charges ,for all the most common diseases."" They got together and proved that they can fight off proverty and they did . When they foulght off proverty they got things that some people have never had and needed it to save their life like the bed net that keep all off the mosquitoes off because their thay carry diseases and it states "" bed nets are used in every sleeping site in seuri"" . That is a prime example of what on thing you do for some one will help them it saved peoples lifes because the bugs carred diseases . 
       I think that one day in my life time we can do something to stop this like that did in sauri.",2,"I think that winning the fight against poverty in sauri was very good and i think that maybe one day we can do the same in our community one day . But we do have a lot of people with bad home life and maybe one day we can do that .

In sauri they made a very big different in their community . It states in paragraph 1 "" little kids were raped in clothes on their mothers backs , or they were running around in bear feet and tattered clothing because they did not have much in Kenya they sped like 1 dollar a day"". We do have a lot of people like that were i live and i think that one day we will be able to change that . It states "" hospital has medicine , free charges ,for all the most common diseases but we could get medicaid to fix all diseases in the future so every one in the hospital can be cured
."" They got together and proved that they can fight off poverty and they did . When they fought off poverty they got things that some people have never had and needed it to save their life like the bed net that keep all off the mosquitoes off because  they carry diseases and it states "" bed nets are used in every sleeping site in seuri now that we got that every one can be safe when they sleep and don't get diseases"" . That is a prime example of what on thing you do for some one will help them it saved peoples life because the bugs carried diseases .

I think that one day in my life time we can do something to stop this like that did in sauri",1,2018-11-28 14:36:11.0,2018-12-04 18:49:17.0,2018-12-04 19:32:25.0,00:43:08,"[think, that, winning, the, fight, against], [proverty, in, sauri, was, very, good], [of, people, with, bad, home, lifes], [raped, in, clothes, on, their, mothers], [it, states, hospital, has, medicine, free, charges, for, all, the, most, common], [their, life, like, the, bed, net], [mosquitoes, off, because, their, thay, carry], [help, them, it, saved, peoples, lifes]","[think, that, winning, the, fight, against], [poverty, in, sauri, was, very, good], [raped, in, clothes, on, their, mothers], [kenya, they, sped, like, 1, dollar], [it, states, hospital, has, medicine, free, charges, for, all, the, most, common], [save, their, life, like, the, bed, net], [the, mosquitoes, off, because, they, carry], [help, them, it, saved, peoples, life, because, the, bugs, carried, diseases]"
158,101,18.00,37,0,20,J,H,"        The author convinced me that winning the fight against poverty is achievable in our life time for many reasons. Those reasons are because of places in the world like Sauri, Kenya that struggle everyday of their lives.
       The author convinced me that we can help overcome poverty because down in Africa their are lots and lots of mosquitoes. In fact in the article it states "" Each net costs $5.00. There are some cheap medicines to get ride of malaria too. The solutions are simple, yet 20,000 kids die from the disease each day,"". This shows that poverty needs to be overcome and it is achievable .
       Another example that the author used that convinced me was when she said ""Their crops were dying because they could afford the necessary fertilizer and irrigation,"". Also it says ""Each year, the farmers worry: Will they harvest enough food to feed the whole family? Will their kids go hungry and become sick?"". This also shows poverty is a very bad thing in this world and we can win that fight if we all help out.
      ""Many kids in Sauri did not attend school because their parents could not afford the school fees,"". This means that a lot of kids don't have an education because they have to help their parents at home or else they wouldn't have a meal at the end of the day or anything to drink.
     In the article it says"" The rooms were filled with patients who probably would not receive treatment, either because they could not afford it or the hospital didn't have it . BY now you should have realized that poverty is a terrible thing in this world and the fight against it can be won.
     In the last paragraphs it says"" The Yala Sub District Hospital has medicine, free of charge, for all of the most common diseases. bed nets are used in every sleeping site in Sauri. the hunger crisis has been addressed with fertilizer and seeds, as well as the tools to maintain the food supply. There are no fees, and the school now serves lunch for the students,"". That shows that poverty can be won over. With help the goals will be met at 2025-2035.
    With the help of every body in the world the fight of poverty can be won and people can be free from having to worry about not having enough food or not having treatments.",3,"        The author convinced me that winning the fight against poverty is achievable in our life time for many reasons. Those reasons are because of places in the world like Sauri, Kenya that struggle everyday of their lives.

       The author convinced me that we can help overcome poverty because down in Africa their are lots and lots of mosquitoes. In fact in the article it states "" Each net costs $5.00. There are some cheap medicines to get ride of malaria too. The solutions are simple, yet 20,000 kids die from the disease each day,"". This shows that poverty needs to be overcome and it is achievable .

      Another example that the author used that convinced me was when she said ""Their crops were dying because they could afford the necessary fertilizer and irrigation,"". Also it says ""Each year, the farmers worry: Will they harvest enough food to feed the whole family? Will their kids go hungry and become sick?"". This also shows poverty is a very bad thing in this world and we can win that fight if we all help out.

      ""Many kids in Sauri did not attend school because their parents could not afford the school fees,"". This means that a lot of kids don't have an education because they have to help their parents at home or else they wouldn't have a meal at the end of the day or anything to drink.

      In the article it says"" The rooms were filled with patients who probably would not receive treatment, either because they could not afford it or the hospital didn't have it . BY now you should have realized that poverty is a terrible thing in this world and the fight against it can be won.

     In the last paragraphs it says"" The Yala Sub District Hospital has medicine, free of charge, for all of the most common diseases. bed nets are used in every sleeping site in Sauri. the hunger crisis has been addressed with fertilizer and seeds, as well as the tools to maintain the food supply. There are no fees, and the school now serves lunch for the students,"". That shows that poverty can be won over. With help the goals will be met at 2025-2035. 

     The reason I picked those examples is because those are all the things that Kenya doesn't have ,but we look at that and think to ourselves and can't even imagine not having those things. So that is why I picked my evidence because those all are the things we have,and that is why I believe we can win the fight against poverty. In one of my examples it says how far Kenya has come in the past couple of years. So I know by the time the goals need to be met in 2025-2035 that everybody will help out and the goals will be met because that is very achievable. They already have come this far with everybody's help and donations throughout the world, so I know that winning the fight against poverty is achievable.

    With the help of every body in the world the fight of poverty can be won and people can be free from having to worry about not having enough food or not having treatments.",1,2018-11-28 14:37:43.0,2018-12-04 18:48:28.0,2018-12-04 19:31:37.0,00:43:09,"[me, that, winning, the, fight, against], [poverty, is, achievable, in, our, life], [in, the, world, like, sauri, kenya], [article, it, states, each, net, costs], [there, are, some, cheap, medicines, to], [malaria, too, the, solutions, are, simple, yet, 20000, kids, die], [she, said, their, crops, were, dying, because, they, could, afford, the, necessary, fertilizer, and, irrigation], [says, each, year, the, farmers, worry, will, they, harvest], [will, their, kids, go, hungry, and], [in, sauri, did, not, attend, school], [could, not, afford, the, school, fees], [it, says, the, rooms, were, filled], [paragraphs, it, says, the, yala, sub, district, hospital, has, medicine, free, of, charge], [bed, nets, are, used, in, every], [seeds, as, well, as, the, tools], [there, are, no, fees, and, the, school, now, serves], [help, the, goals, will, be, met]","[me, that, winning, the, fight, against], [poverty, is, achievable, in, our, life], [in, the, world, like, sauri, kenya], [article, it, states, each, net, costs], [there, are, some, cheap, medicines, to], [malaria, too, the, solutions, are, simple, yet, 20000, kids, die], [she, said, their, crops, were, dying, because, they, could, afford, the, necessary, fertilizer, and, irrigation], [says, each, year, the, farmers, worry, will, they, harvest], [will, their, kids, go, hungry, and], [in, sauri, did, not, attend, school], [could, not, afford, the, school, fees], [it, says, the, rooms, were, filled], [paragraphs, it, says, the, yala, sub, district, hospital, has, medicine, free, of, charge], [bed, nets, are, used, in, every], [seeds, as, well, as, the, tools], [there, are, no, fees, and, the, school, now, serves], [help, the, goals, will, be, met], [in, the, past, couple, of, years], [far, with, everybodys, help, and, donations]"
266,101,18.00,37,0,38,T,W,"        In the text the A Brighter Future they gave  details that could convince me that winning the fight against poverty is achievable in our lifetime.                                                                                           
        In the text A Brighter Future they didn't  convince me that it is possible.  They were naming all kinds of things they need to fix but it just doesn't seem possible. If you were trying to help the cause of needed medicines and everything else it would seem impossible to you wouldn't it. If you would really think about how much you would need to do and in the little time to do it than it is impossible. 
       First thing you would have to fix woujld be clothes. Every kid needs clothes to live. Next you would need to fix school causes. Then medicines because you need medication if you get ill. Then you will need to help fertilize. You need fertilizer to help grow plants. These are just some of the things you would need to help and to make better. 
So these are just some of the reasons that I think it is not possible to win the fight.",1,"In the text the A Brighter Future they gave details that could convince me that winning the fight against poverty is achievable in our lifetime.

In the text A Brighter Future they didn't convince me that it is possible. They were naming all kinds of things they need to fix but it just doesn't seem possible. If you were trying to help the cause of needed medicines and everything else it would seem impossible to you wouldn't it. If you would really think about how much you would need to do and in the little time to do it than it is impossible.""On that day in 2010, we followed the village leaders into Yala Sub-District Hospital. It was not in good shape.'' (Sachs par.4)

First thing you would have to fix would be clothes. Every kid needs clothes to live. Next you would need to fix school causes. Then medicines because you need medication if you get ill. Then you will need to help fertilize. You need fertilizer to help grow plants. These are just some of the things you would need to help and to make better. 

So these are just some of the reasons that I think it is not possible to win the fight.",1,2018-11-30 10:27:04.0,2018-12-04 14:25:25.0,2018-12-04 14:53:43.0,00:13:42,"[that, could, convince, me, that, winning], [and, everything, else, it, would, seem, impossible], [then, medicines, because, you, need, medication], [need, fertilizer, to, help, grow, plants]","[that, could, convince, me, that, winning], [and, everything, else, it, would, seem, impossible], [followed, the, village, leaders, into, yala], [then, medicines, because, you, need, medication], [need, fertilizer, to, help, grow, plants]"
267,101,18.00,37,0,32,M,S,"               This article is about the Millennium Villages project in Kenya by Hannah Sachs. Here is a question about the article: did the author convince you that winning the fight against poverty is achievable in our lifetime?
                My answer to that question is yes we can. The reason why I think that is because she said "" The Yala Sub-District Hospital has medicine, with free charges. They also have water is connected to the hospital, which also has a generator for the electricity. Bed nets are used in every sleeping site in Sauri. The hunger crises has been addressed with the fertilized and seeds, as well as the tools needed to maintain the food supply. There are no school fees, and the school now serves lunch for the students. The attendance rate went way up"" ( Sachs paragraph 9). If that much is already done than anything else that they need to get done can get done. All the people have been working since 2010 and it's already 2018. That means that all of the people have been working really hard to get this done. I'm going have to agree to Sachs because if the whole world comes together and work really hard then I believe that we can acaully work. We can really get this done and all the people that once had nothing real have some aducation and food to live off of. 
              That was just my opinion about that question and why I think we can become successful with this mission. I also think that if this is successful than we can do it with other countries that don't have as much as us.",3,"           This article is about the Millennium Villages project in Kenya by Hannah Sachs. Here is a question about the article: did the author convince you that winning the fight against poverty is achievable in our lifetime?
             My answer to that question is yes we can. The reason why I think that the author convince me that winning the fight against poverty in our lifetime is because she said "" The Yala Sub-District Hospital has medicine, with free charges. They also have water is connected to the hospital, which also has a generator for the electricity. Bed nets are used in every sleeping site in Sauri. The hunger crises has been addressed with the fertilized and seeds, as well as the tools needed to maintain the food supply. There are no school fees, and the school now serves lunch for the students. The attendance rate went way up"" ( Sachs paragraph 9). The reason why that helps me make my point is because that proves that it is already helping all the people and that it is already making a difference. If that much is already done than anything else that they need to get done can get done. All the people have been working since 2010 and it's already 2018. That means that all of the people have been working really hard to get this done. I'm going have to agree to Sachs because if the whole world comes together and work really hard then I believe that we can acually work. We can really get this done and all the people that once had nothing will  have some aducation and food to live off of.                                                                                                                                       
                    That was just my opinion about that question and why I think we can become successful with this mission. I also think that if this is successful than we can do it with other countries that don't have as much as us.So what I'm saying is that yes the author has convinced me that winning the fight against poverty is achievable in our lifetime.I also say this because we are half way to 2025 and a lot has been done. We do have till 2035 to complete somethings. That is also just a goal so it could happen before that.",1,2018-11-30 10:28:30.0,2018-12-04 14:24:58.0,2018-12-04 15:00:47.0,00:35:49,"[the, author, convince, you, that, winning], [because, she, said, the, yala, subdistrict, hospital, has, medicine, with, free, charges], [they, also, have, water, is, connected, to, the, hospital], [bed, nets, are, used, in, every], [the, hunger, crises, has, been, addressed], [seeds, as, well, as, the, tools], [there, are, no, school, fees, and, the, school, now, serves], [i, think, we, can, become, successful]","[the, author, convince, you, that, winning], [because, she, said, the, yala, subdistrict, hospital, has, medicine, with, free, charges], [they, also, have, water, is, connected, to, the, hospital], [bed, nets, are, used, in, every], [the, hunger, crises, has, been, addressed], [seeds, as, well, as, the, tools], [there, are, no, school, fees, and, the, school, now, serves], [i, think, we, can, become, successful]"
268,101,18.00,37,0,14,L,D,"      How did the author influence my choice of weather  or not I agree with her claim ?
      I agree that  poverty is beatable  with the right help and lots of support because if you ask people that can help then your cause then your pretty good off.  Some people can't help you but maybe they could give you moral support.  In the text it explains how much changes over the course of eight years . Like in the text it says''The Yala Sub-District now has  Hospital now has medicine, free of charge, for all of most common diseases.  Water  is connected to the hospital, witch also has a generator for electricity.'' So over the course of eight years a lot has changed. They now have electricity and can treat people,so they don't have to die out because of diseases that have cures and people just can't pay for them. Things have furthered in different ways too like they now have fertilizer and seeds to help with gardening and so they have enough food to eat and  to last for however long they can't grow food.  They also won't get sick as easy because  they got bed things so they won't get Malaria. so they won't have to go to the doctor for Malaria. So now the people  have come a long way and they still have a long way to go, but with the rate their going now they should meet their goals by 2025.
     So Sauri should have big improvement over the next ten years and the course of a lifetime.",1,"    How did the author influence my choice of weather or not I agree with her claim ?

   I agree that poverty is beatable with the right help and lots of support because if you ask people that can help then your cause then your pretty good off. Some people can't help you but maybe they could give you moral support. In the text it explains how much changes over the course of eight years . Like in the text it says''The Yala Sub-District now has Hospital now has medicine, free of charge, for all of most common diseases. Water is connected to the hospital, witch also has a generator for electricity.'' So over the course of eight years a lot has changed. They now have electricity and can treat people,so they don't have to die out because of diseases that have cures and people just can't pay for them. Things have furthered in different ways too like they now have fertilizer and seeds to help with gardening and so they have enough food to eat and to last for however long they can't grow food. They also won't get sick as easy because they got bed nets so they won't get Malaria. They won't have to go to the doctor for Malaria. So now the people have come a long way and they still have a long way to go, but with the rate their going now they should meet their goals by 2025.  They still have lots to do before they get to 2025 , but they have gotten so much done for 8 years it's hard to imagine how much more they could get done.  They still have a lot do. The text said ""Dramatic changes have occurred in 80 villages across sub-Saharan Africa. The progress is encouraging to supporters of the millennium Villages project.''
So they still have lots to do but they are very proud of their progress they have made and they are still making good progress.

     So Sauri has had  great  improvement and should still improve for as long as they need to .To made Sauri a better place to live.",1,2018-11-30 10:29:20.0,2018-12-04 14:22:17.0,2018-12-04 14:54:04.0,00:31:47,"[did, the, author, influence, my, choice], [text, it, explains, how, much, changes], [the, text, it, saysthe, yala, subdistrict], [has, hospital, now, has, medicine, free, of, charge, for, all, of, most, common], [water, is, connected, to, the, hospital], [diseases, that, have, cures, and, people], [they, now, have, fertilizer, and, seeds, to, help, with, gardening, and, so, they, have, enough], [now, they, should, meet, their, goals], [have, big, improvement, over, the, next]","[did, the, author, influence, my, choice], [text, it, explains, how, much, changes], [the, text, it, saysthe, yala, subdistrict], [has, hospital, now, has, medicine, free, of, charge, for, all, of, most, common], [water, is, connected, to, the, hospital], [diseases, that, have, cures, and, people], [they, now, have, fertilizer, and, seeds, to, help, with, gardening, and, so, they, have, enough], [easy, because, they, got, bed, nets], [now, they, should, meet, their, goals], [occurred, in, 80, villages, across, subsaharan], [to, made, sauri, a, better, place]"
